,Recall,Precision,F1 Score,Area Under ROC,Area Under PR
Logestic Regression,0.68,0.8095238095238095,0.7391304347826089,0.980078851027874,0.8367111087836894
Decision Tree Classifier,0.88,0.8148148148148148,0.8461538461538461,0.900081667136018,0.8349549401721011
Random Forest Classifier,0.88,0.9166666666666666,0.8979591836734694,0.9997071247535905,0.9209762519169706
Gradient-Boosted Tree Classifier,0.88,0.8461538461538461,0.8627450980392156,0.9935680090115461,0.8185801418935603
